Handle,Channel Name,Join Date,Description,Thumbnail URL,Subscriber Count,View Count,Video Count
@torontomapleleafs,Toronto Maple Leafs,2006-05-05,The official YouTube channel of the Toronto Maple Leafs.,https://yt3.ggpht.com/EnLxeVQdpEWA995nVCD81_QsMbkolukIg5m24XqpliYWvMH_x5u9qOEZU2Aho6wTVK0jQ2SG=s176-c-k-c0x00ffffff-no-rj,165000,110409726,13679
@torontoraptors,Toronto Raptors,2006-03-23,"The official YouTube channel of the Toronto Raptors. Follow us for the latest game highlights, interviews, exclusive team content, and more!

#WeTheNorth
",https://yt3.ggpht.com/D6YeLXRlcjQOdB3RCpYgIUiJYtppESoICwOmIGNLn2AMLZJ90kOitKt2q1vcYxONR5z-_jDNa6M=s176-c-k-c0x00ffffff-no-rj,173000,102332095,11420
@torontofc,Toronto FC,2006-05-14,"Major League Soccer's First Canadian Club 🍁

🇨🇦 8x Voyageurs Cup Champions
🛡 2017 Supporters' Shield Champions
🏆 2017 MLS Cup Champions
",https://yt3.ggpht.com/5-gj6ihKtbJQBLUME25WKcUIIO_VA_HVus4hxJhESRZIqITiaOXN9qyfgyAv337_XJLfqCYflg=s176-c-k-c0x00ffffff-no-rj,40500,26282247,5105
@torontoargonauts,Toronto Argonauts,2007-01-28,"Welcome to the Official YouTube Channel of the 19 x Grey Cup Champions, Toronto Argonauts Football Club. Est. 1873",https://yt3.ggpht.com/X8WPUD5y-8LpBW7xQSWLMdBKiYUqBxctbgDBQ8yDghTTHXXSazUmONGf3Q972VwPKSBc0hstLKg=s176-c-k-c0x00ffffff-no-rj,26300,37436485,1161
@marliestv,Toronto Marlies,2010-02-01,This is the Official Youtube Channel of the AHL's Toronto Marlies.,https://yt3.ggpht.com/yLsY2SdlMOgmR80ACVDI5cjwVcgT1r5n4Yr0EanLHIfbBXUm-ogxvkz9aqMWuznHO0Vkk00OYg=s176-c-k-c0x00ffffff-no-rj,11900,8755457,6495
@raptors905,Raptors 905,2015-06-08,"The official YouTube channel for Raptors 905, NBA Development League affiliate of the Toronto Raptors.",https://yt3.ggpht.com/ytc/AIdro_kDwxxHL88YNf-wuhWNGJko99NFuNv6PbBjhxH14cAu7H8=s176-c-k-c0x00ffffff-no-rj,3360,582625,1384
@raptorsuprisinggc,Raptors Uprising GC,2017-12-07,"This is the Official Toronto Raptors Uprising GC Youtube Channel. Reach out to us anytime, we're @RaptorsGC on Twitter. Thanks for being a fan.",https://yt3.ggpht.com/ytc/AIdro_nOvTSBodWvkUciDX9YM78T_PocBCST72ci1LZJaJPer00=s176-c-k-c0x00ffffff-no-rj,15300,9004553,593
@scotiabankarena,Scotiabank Arena,2018-07-30,"
",https://yt3.ggpht.com/k4njlEkZAW3pgUlfarsou4NvtT90IifcdtvTGbpqWAkOUbPLClqEtciKcGo_02JRDaP0TEBtvg=s176-c-k-c0x00ffffff-no-rj,1690,441184,85
@mlsesportdevelopment,MLSE Sport Development,2017-06-16,"A place where you can find official sport development videos and shorts from the Raptors, Leafs, TFC and Argos.",https://yt3.ggpht.com/ytc/AIdro_kViJ-x7bpE70aQXBS-FltYMVMk8BNfTYHyvPSXdtFbe4w=s176-c-k-c0x00ffffff-no-rj,512,160815,274
@mlsefoundation,MLSE Foundation,2010-11-02,"We believe all kids should have access to sport and the opportunity to dream big.

Changing lives through the spirit and the power of sports. With the support of the Toronto Maple Leafs, Toronto Raptors, Toronto FC and Toronto Marlies - the MLSE Foundation funds the refurbishment of local athletic facilities and programs that support kids through sports and recreation.",https://yt3.ggpht.com/ytc/AIdro_m0WP-aXe360dNyW0FWm5NV3mGQC2PdKs50YJApl0JJ8lQ=s176-c-k-c0x00ffffff-no-rj,426,529311,241
@mlselaunchpad7987,MLSE LaunchPad,2017-01-31,,https://yt3.ggpht.com/ytc/AIdro_mT7W1JYQt64l7DqgFcjC7mXsSqd9NiZqowTpVx17On3Jw=s176-c-k-c0x00ffffff-no-rj,121,31883,85
@realsportsmlsq,Real Sports,2010-06-14,,https://yt3.ggpht.com/ytc/AIdro_mll9AKK1QojrBLK8c8NulD0GhZPo3qHAmCDBUnyOMAkg=s176-c-k-c0x00ffffff-no-rj,509,381499,388
@nbatvcanada,NBA TV Canada,2010-08-30,"NBA TV Canada offers Live and Exclusive Raptors, NBA, WNBA and NBDL games. Exclusive pre and post-game shows for all Raptors games. Contact your local television service provider today to find out how you can subscribe to NBA TV Canada.",https://yt3.ggpht.com/ytc/AIdro_k3b0i3h2U5Rb9uk4Fet3rF8yVcoJROnjNhnpxAAW1ZDKM=s176-c-k-c0x00ffffff-no-rj,5640,1567969,845
